Source_Borough,Drop_Borough,Date,Hour,Trip_Distance,Duration,Count_of_rides,tip_amount,total_amount
Bronx,Bronx,1/9/18,15,1.489166667,12.20833333,7,0,9.883333333
Unknown,Queens,1/29/18,13,3.746666667,11.27592593,7,0.555555556,30.21666667
Unknown,Manhattan,1/8/18,2,1.051666667,3.638888889,6,3.168333333,27.65166667
Unknown,Unknown,1/22/18,0,1.491111111,4.072276688,54,12.84895425,90.4551634
Bronx,Bronx,1/15/18,9,3.546428571,10.61309524,8,0.085714286,13.52857143
Brooklyn,Bronx,1/20/18,20,20.45,40.85833333,2,0,60.68
Queens,Unknown,1/27/18,4,28.62,77.51666667,1,0,156.05
Bronx,Bronx,1/29/18,11,1.579,10.60833333,6,0.5,10.4
Unknown,Brooklyn,1/19/18,0,2.55,6.344444444,3,7.146666667,48.44666667
Unknown,Queens,1/29/18,18,3.333333333,8.718518519,5,0,12.34444444
Manhattan,Staten Island,1/6/18,0,20.15666667,48.45,3,11.91666667,84.49
Brooklyn,Queens,1/12/18,19,5.8,25.94444444,3,4.75,28.21666667
Unknown,Unknown,1/23/18,17,1.050004902,6.158978758,179,14.97981373,71.47479902
Staten Island,Staten Island,1/30/18,19,1.114,6.143333333,5,0.924,8.924
Unknown,Unknown,1/31/18,16,2.203018657,9.132288557,273,16.86147388,46.19937687
Unknown,EWR,1/16/18,12,0.385,0.3125,3,15.9,116.1625
Unknown,EWR,1/15/18,6,0,0.833333333,1,18.06,108.36
Brooklyn,Queens,1/27/18,20,6.46,19.41666667,1,0,22.3
Unknown,EWR,1/4/18,13,8.65,35.10833333,2,0,113.8
Manhattan,EWR,1/31/18,22,15.665,29.125,4,14.4025,90.9525
Brooklyn,Unknown,1/13/18,8,3.71,9.45,1,0,13.3
EWR,EWR,1/26/18,15,0,0.133333333,1,18.76,112.56
Unknown,Staten Island,1/8/18,1,0,3.783333333,1,0,90.3
Manhattan,Staten Island,1/18/18,17,14.5,39.4,1,30,93.58
Unknown,EWR,1/31/18,14,0,0.083333333,1,15,105.8
Manhattan,Manhattan,1/1/18,4,3.051150638,18.86339067,5740,1.439520268,14.56073844
Queens,Manhattan,1/2/18,19,13.91743107,40.15400703,686,6.851790092,54.60476665
Queens,Queens,1/5/18,7,3.800942561,39.95829007,259,1.349345659,18.05733317
Manhattan,Unknown,1/8/18,9,3.7375,13.90672222,43,3.140166667,35.5369
Manhattan,Manhattan,1/10/18,19,2.867124259,16.99311266,16278,2.05819066,16.54974546
Manhattan,Manhattan,1/13/18,16,2.821717612,20.21349758,16546,1.707094034,15.50520465
Queens,Manhattan,1/14/18,20,13.13455746,31.00058942,576,7.025899318,51.34504334
Manhattan,Manhattan,1/16/18,15,2.734755017,18.61471744,14417,1.765086729,15.7579984
Manhattan,Brooklyn,1/19/18,1,6.7392199,20.85954984,439,3.232605931,26.91657521
Brooklyn,Manhattan,1/20/18,1,5.154145833,18.34416667,59,2.803895833,22.9243125
Brooklyn,Manhattan,1/22/18,7,5.456481481,38.47506859,100,3.276707819,24.06098765
Manhattan,Brooklyn,1/24/18,22,6.686716779,29.41859606,1187,4.142724154,29.30280405
Manhattan,Queens,1/29/18,5,11.30642759,23.33037502,461,5.150987809,43.10577148
Manhattan,Queens,1/29/18,14,11.26330893,66.55066634,451,4.760976358,42.15517852
Queens,Queens,1/31/18,22,5.904176669,13.77730793,157,2.26772288,23.50853043
